date,player_id,player_name,team,prop,predicted_ev,actual_stat,accuracy,mae,edge_flag
2026-02-05,20000726,Joel Embiid,PHI,points,41.300000000000004,47.2,0,5.899999999999999,0
2026-02-05,20002720,Austin Reaves,LAL,points,41.300000000000004,47.2,0,5.899999999999999,0
2026-02-05,20001671,Brandon Ingram,TOR,points,41.175,44.5,0,3.325000000000003,0
2026-02-05,20002667,Cade Cunningham,DET,points,40.175000000000004,40.4,1,0.22499999999999432,0
2026-02-05,20002600,Naji Marshall,DAL,points,40.012499999999996,43.1,0,3.0875000000000057,0
2026-02-05,20003444,Cooper Flagg,DAL,points,39.7125,43.1,0,3.387500000000003,0
2026-02-05,20000884,Kevin Durant,HOU,points,38.525,41.8,0,3.2749999999999986,0
2026-02-05,20003031,Victor Wembanyama,SA,points,37.541666666666664,39.1,1,1.5583333333333371,0
2026-02-05,20002546,Tyrese Maxey,PHI,points,36.1375,35.0,1,1.1375000000000028,1
2026-02-05,20003455,Egor Demin,BKN,points,32.8625,35.0,0,2.137500000000003,0
2026-02-10,20003031,Victor Wembanyama,SA,points,25.991666666666667,23.7,0,2.291666666666668,1
2026-02-10,20002032,Jalen Brunson,NY,points,22.1125,23.7,0,1.5874999999999986,0
2026-02-10,20002600,Naji Marshall,DAL,points,21.487499999999997,18.4,0,3.0874999999999986,1
2026-02-10,20003444,Cooper Flagg,DAL,points,19.3875,16.0,0,3.3874999999999993,1
2026-02-10,20000884,Kevin Durant,HOU,points,18.725,15.4,0,3.325000000000001,1
2026-02-10,20000646,Kawhi Leonard,LAC,points,17.075000000000003,14.2,0,2.8750000000000036,1
2026-02-10,20001873,Dillon Brooks,PHO,points,16.675,13.6,0,3.075000000000001,1
2026-02-10,20001710,Pascal Siakam,IND,points,15.575,17.8,0,2.2250000000000014,0
2026-02-10,20001998,Mikal Bridges,NY,points,15.1625,13.0,0,2.1624999999999996,1
2026-02-10,20001431,Karl-Anthony Towns,NY,points,14.9875,13.0,0,1.9875000000000007,1
2026-02-11,20000710,Julius Randle,MIN,points,56.5,56.5,1,0.0,0
2026-02-11,20002658,Cam Thomas,MIL,points,46.8,46.8,1,0.0,0
2026-02-11,20002585,Sam Merrill,CLE,points,44.1,44.1,1,0.0,0
2026-02-11,20002546,Tyrese Maxey,PHI,points,42.9625,44.1,1,1.1375000000000028,0
2026-02-11,20001844,Donovan Mitchell,CLE,points,41.3,41.3,1,0.0,0
2026-02-11,20002555,Desmond Bane,ORL,points,41.237500000000004,42.7,1,1.4624999999999986,0
2026-02-11,20003032,Brandon Miller,CHA,points,39.212500000000006,42.7,0,3.487499999999997,0
2026-02-11,20002667,Cade Cunningham,DET,points,38.824999999999996,38.6,1,0.22499999999999432,1
2026-02-11,20002896,Jalen Williams,OKC,points,38.6,38.6,1,0.0,0
2026-02-11,20001836,Bam Adebayo,MIA,points,37.2,37.2,1,0.0,0
